"On the whole are you very satisfied, fairly satisfied, not very satisfied or not at all satisfied with the life you lead ?"
Belgium
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
04/2008,19% ,58% ,17% ,5% ,1% 
10/2008,18% ,58% ,18% ,5% ,1% 
06/2009,21% ,56% ,17% ,5% ,1% 
11/2009,20% ,58% ,17% ,5% ,0% 
06/2010,21% ,57% ,16% ,6% ,0% 
11/2010,20% ,58% ,16% ,6% ,0% 
05/2011,21% ,58% ,15% ,5% ,1% 
11/2011,19% ,56% ,18% ,6% ,1% 
05/2012,21% ,56% ,17% ,6% ,0% 
11/2012,20% ,56% ,17% ,7% ,0% 
05/2013,20% ,55% ,18% ,7% ,0% 

Czech Republic
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,8% ,69% ,18% ,4% ,1% 
06/2005,13% ,70% ,15% ,2% ,0% 
10/2005,13% ,68% ,16% ,3% ,0% 
04/2006,12% ,69% ,16% ,2% ,0% 
09/2006,13% ,69% ,15% ,2% ,0% 
05/2007,13% ,69% ,15% ,2% ,1% 
10/2007,14% ,67% ,17% ,2% ,0% 
04/2008,13% ,69% ,16% ,2% ,0% 
10/2008,11% ,72% ,14% ,2% ,1% 
06/2009,15% ,67% ,15% ,3% ,0% 
11/2009,13% ,69% ,16% ,2% ,0% 
06/2010,12% ,66% ,19% ,3% ,0% 
11/2010,12% ,69% ,16% ,3% ,0% 
05/2011,16% ,65% ,17% ,2% ,0% 
11/2011,10% ,68% ,18% ,3% ,1% 
05/2012,12% ,67% ,18% ,3% ,0% 
11/2012,9% ,65% ,20% ,5% ,1% 
05/2013,12% ,71% ,16% ,1% ,0% 

Estonia
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,8% ,62% ,26% ,4% ,1% 
06/2005,7% ,60% ,27% ,5% ,0% 
10/2005,8% ,63% ,24% ,5% ,0% 
04/2006,8% ,61% ,26% ,4% ,1% 
09/2006,9% ,70% ,19% ,2% ,1% 
05/2007,11% ,67% ,19% ,3% ,0% 
10/2007,8% ,70% ,19% ,3% ,0% 
04/2008,11% ,65% ,20% ,4% ,0% 
10/2008,9% ,65% ,23% ,3% ,0% 
06/2009,8% ,65% ,22% ,5% ,0% 
11/2009,7% ,66% ,22% ,5% ,0% 
06/2010,8% ,65% ,23% ,4% ,0% 
11/2010,9% ,63% ,24% ,4% ,0% 
05/2011,9% ,62% ,24% ,5% ,0% 
11/2011,7% ,62% ,25% ,6% ,0% 
05/2012,11% ,58% ,26% ,5% ,0% 
11/2012,10% ,60% ,25% ,5% ,0% 
05/2013,9% ,62% ,24% ,5% ,0% 

Republic of Cyprus
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,46% ,44% ,8% ,3% ,0% 
06/2005,35% ,49% ,13% ,3% ,0% 
10/2005,35% ,51% ,11% ,3% ,0% 
04/2006,35% ,50% ,12% ,3% ,0% 
09/2006,29% ,59% ,9% ,2% ,0% 
05/2007,35% ,52% ,10% ,3% ,0% 
10/2007,31% ,54% ,11% ,4% ,0% 
04/2008,32% ,58% ,8% ,2% ,0% 
10/2008,35% ,50% ,12% ,3% ,0% 
06/2009,35% ,50% ,12% ,3% ,0% 
11/2009,31% ,50% ,16% ,3% ,0% 
06/2010,28% ,54% ,14% ,4% ,0% 
11/2010,32% ,50% ,14% ,4% ,0% 
05/2011,31% ,50% ,14% ,5% ,0% 
11/2011,29% ,47% ,18% ,6% ,0% 
05/2012,30% ,50% ,14% ,6% ,0% 
11/2012,26% ,47% ,16% ,11% ,0% 
05/2013,21% ,47% ,21% ,11% ,0% 

Latvia
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,5% ,50% ,34% ,9% ,1% 
06/2005,8% ,53% ,32% ,6% ,1% 
10/2005,7% ,54% ,30% ,9% ,0% 
04/2006,8% ,52% ,34% ,6% ,0% 
09/2006,10% ,56% ,28% ,7% ,0% 
05/2007,8% ,55% ,31% ,6% ,0% 
10/2007,9% ,58% ,26% ,7% ,0% 
04/2008,9% ,54% ,30% ,7% ,0% 
10/2008,8% ,54% ,30% ,8% ,0% 
06/2009,7% ,47% ,29% ,17% ,0% 
11/2009,9% ,48% ,31% ,12% ,0% 
06/2010,9% ,51% ,31% ,9% ,0% 
11/2010,8% ,50% ,32% ,10% ,0% 
05/2011,8% ,52% ,30% ,10% ,0% 
11/2011,11% ,51% ,30% ,8% ,0% 
05/2012,9% ,57% ,29% ,5% ,0% 
11/2012,10% ,56% ,27% ,7% ,0% 
05/2013,13% ,54% ,26% ,7% ,0% 

Lithuania
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,11% ,43% ,33% ,11% ,1% 
06/2005,9% ,44% ,34% ,11% ,1% 
10/2005,10% ,48% ,31% ,10% ,1% 
04/2006,10% ,50% ,32% ,8% ,1% 
09/2006,10% ,53% ,28% ,8% ,1% 
05/2007,10% ,55% ,27% ,7% ,1% 
10/2007,9% ,54% ,29% ,7% ,1% 
04/2008,13% ,47% ,31% ,8% ,1% 
10/2008,12% ,46% ,34% ,7% ,1% 
06/2009,13% ,44% ,34% ,9% ,0% 
11/2009,11% ,44% ,31% ,14% ,0% 
06/2010,10% ,40% ,35% ,15% ,0% 
11/2010,10% ,46% ,31% ,12% ,1% 
05/2011,12% ,44% ,32% ,12% ,0% 
11/2011,11% ,46% ,30% ,12% ,1% 
05/2012,14% ,48% ,28% ,10% ,0% 
11/2012,12% ,52% ,26% ,9% ,1% 
05/2013,14% ,51% ,25% ,9% ,1% 

Hungary
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,7% ,43% ,36% ,13% ,0% 
06/2005,10% ,44% ,34% ,12% ,0% 
10/2005,9% ,47% ,32% ,12% ,0% 
04/2006,7% ,48% ,35% ,11% ,0% 
09/2006,6% ,44% ,36% ,14% ,0% 
05/2007,8% ,43% ,34% ,15% ,0% 
10/2007,4% ,48% ,33% ,14% ,1% 
04/2008,6% ,41% ,35% ,17% ,1% 
10/2008,4% ,42% ,37% ,17% ,0% 
06/2009,6% ,38% ,36% ,20% ,0% 
11/2009,5% ,37% ,39% ,19% ,0% 
06/2010,5% ,45% ,35% ,15% ,0% 
11/2010,5% ,45% ,37% ,13% ,0% 
05/2011,6% ,45% ,34% ,15% ,0% 
11/2011,6% ,43% ,32% ,18% ,1% 
05/2012,5% ,37% ,40% ,18% ,0% 
11/2012,5% ,43% ,35% ,17% ,0% 
05/2013,5% ,42% ,38% ,15% ,0% 

Malta
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,35% ,53% ,10% ,2% ,0% 
06/2005,28% ,57% ,13% ,2% ,0% 
10/2005,27% ,53% ,18% ,2% ,0% 
04/2006,21% ,56% ,20% ,3% ,0% 
09/2006,26% ,56% ,14% ,4% ,0% 
05/2007,28% ,54% ,14% ,3% ,1% 
10/2007,22% ,61% ,12% ,4% ,1% 
04/2008,30% ,55% ,14% ,1% ,0% 
10/2008,31% ,53% ,12% ,4% ,0% 
06/2009,35% ,47% ,13% ,5% ,0% 
11/2009,20% ,52% ,21% ,6% ,1% 
06/2010,26% ,50% ,19% ,5% ,0% 
11/2010,22% ,56% ,16% ,6% ,0% 
05/2011,30% ,50% ,17% ,3% ,0% 
11/2011,23% ,51% ,20% ,6% ,0% 
05/2012,22% ,58% ,14% ,6% ,0% 
11/2012,21% ,55% ,18% ,6% ,0% 
05/2013,32% ,58% ,9% ,1% ,0% 

Poland
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,15% ,56% ,22% ,6% ,1% 
06/2005,14% ,55% ,24% ,6% ,1% 
10/2005,12% ,58% ,22% ,7% ,1% 
04/2006,12% ,59% ,22% ,5% ,1% 
09/2006,13% ,61% ,20% ,5% ,1% 
05/2007,13% ,64% ,18% ,4% ,1% 
10/2007,16% ,60% ,19% ,4% ,1% 
04/2008,14% ,61% ,18% ,6% ,1% 
10/2008,10% ,66% ,19% ,4% ,1% 
06/2009,15% ,61% ,17% ,4% ,3% 
11/2009,12% ,63% ,18% ,6% ,1% 
06/2010,15% ,64% ,15% ,4% ,2% 
11/2010,15% ,63% ,16% ,4% ,2% 
05/2011,12% ,66% ,15% ,4% ,3% 
11/2011,10% ,63% ,20% ,4% ,3% 
05/2012,11% ,64% ,17% ,5% ,3% 
11/2012,10% ,68% ,17% ,3% ,2% 
05/2013,11% ,63% ,19% ,5% ,2% 

Slovenia
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,27% ,63% ,8% ,1% ,0% 
06/2005,22% ,68% ,8% ,2% ,0% 
10/2005,25% ,62% ,13% ,1% ,0% 
04/2006,23% ,64% ,12% ,1% ,0% 
09/2006,27% ,62% ,9% ,1% ,0% 
05/2007,24% ,67% ,9% ,0% ,0% 
10/2007,27% ,60% ,11% ,2% ,0% 
04/2008,24% ,65% ,9% ,2% ,0% 
10/2008,27% ,58% ,12% ,3% ,0% 
06/2009,22% ,64% ,12% ,2% ,0% 
11/2009,21% ,65% ,12% ,2% ,0% 
06/2010,21% ,64% ,13% ,2% ,0% 
11/2010,21% ,64% ,12% ,3% ,0% 
05/2011,22% ,61% ,15% ,2% ,0% 
11/2011,20% ,63% ,14% ,3% ,0% 
05/2012,22% ,63% ,13% ,2% ,0% 
11/2012,20% ,65% ,12% ,3% ,0% 
05/2013,21% ,64% ,12% ,3% ,0% 

Slovakia
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,7% ,52% ,32% ,8% ,1% 
06/2005,9% ,54% ,30% ,7% ,0% 
10/2005,9% ,55% ,26% ,10% ,0% 
04/2006,9% ,57% ,27% ,6% ,1% 
09/2006,13% ,59% ,23% ,5% ,0% 
05/2007,11% ,61% ,24% ,4% ,0% 
10/2007,13% ,56% ,26% ,5% ,0% 
04/2008,10% ,59% ,25% ,6% ,0% 
10/2008,11% ,61% ,22% ,6% ,0% 
06/2009,13% ,56% ,26% ,4% ,1% 
11/2009,14% ,58% ,24% ,4% ,0% 
06/2010,17% ,58% ,21% ,4% ,0% 
11/2010,14% ,60% ,22% ,3% ,1% 
05/2011,14% ,59% ,23% ,4% ,0% 
11/2011,11% ,59% ,25% ,4% ,1% 
05/2012,14% ,53% ,26% ,7% ,0% 
11/2012,11% ,58% ,25% ,6% ,0% 
05/2013,11% ,57% ,26% ,6% ,0% 

Bulgaria
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,3% ,29% ,38% ,29% ,1% 
06/2005,2% ,27% ,41% ,29% ,1% 
10/2005,2% ,27% ,43% ,26% ,1% 
04/2006,2% ,23% ,46% ,28% ,2% 
09/2006,3% ,34% ,39% ,23% ,2% 
05/2007,2% ,34% ,41% ,22% ,1% 
10/2007,3% ,35% ,41% ,18% ,3% 
04/2008,5% ,35% ,36% ,23% ,1% 
10/2008,2% ,36% ,38% ,21% ,3% 
06/2009,3% ,37% ,40% ,18% ,2% 
11/2009,3% ,35% ,39% ,22% ,1% 
06/2010,3% ,35% ,37% ,22% ,3% 
11/2010,2% ,36% ,39% ,21% ,2% 
05/2011,3% ,34% ,40% ,21% ,2% 
11/2011,2% ,36% ,43% ,18% ,1% 
05/2012,3% ,37% ,37% ,21% ,2% 
11/2012,4% ,36% ,39% ,20% ,1% 
05/2013,2% ,32% ,37% ,28% ,1% 

Croatia
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,15% ,55% ,22% ,7% ,1% 
06/2005,15% ,51% ,24% ,10% ,0% 
10/2005,16% ,55% ,23% ,6% ,1% 
04/2006,15% ,54% ,23% ,7% ,1% 
09/2006,19% ,53% ,21% ,8% ,0% 
05/2007,16% ,56% ,21% ,6% ,1% 
10/2007,19% ,51% ,23% ,6% ,1% 
04/2008,16% ,53% ,25% ,6% ,0% 
10/2008,19% ,49% ,26% ,6% ,0% 
06/2009,15% ,48% ,23% ,7% ,7% 
11/2009,15% ,48% ,26% ,8% ,3% 
06/2010,19% ,50% ,20% ,8% ,3% 
11/2010,17% ,50% ,22% ,8% ,3% 
05/2011,17% ,50% ,25% ,8% ,0% 
11/2011,16% ,51% ,24% ,8% ,1% 
05/2012,16% ,51% ,24% ,8% ,1% 
11/2012,14% ,53% ,25% ,7% ,1% 
05/2013,14% ,53% ,25% ,8% ,0% 

Romania
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,5% ,43% ,38% ,13% ,0% 
06/2005,5% ,40% ,40% ,15% ,0% 
10/2005,6% ,41% ,38% ,15% ,0% 
04/2006,4% ,39% ,42% ,14% ,1% 
09/2006,5% ,44% ,37% ,14% ,1% 
05/2007,5% ,48% ,36% ,11% ,0% 
10/2007,5% ,44% ,37% ,13% ,1% 
04/2008,6% ,47% ,37% ,10% ,0% 
10/2008,5% ,42% ,40% ,11% ,2% 
06/2009,5% ,42% ,37% ,15% ,1% 
11/2009,5% ,42% ,35% ,17% ,1% 
06/2010,4% ,32% ,35% ,29% ,0% 
11/2010,6% ,40% ,35% ,19% ,0% 
05/2011,4% ,36% ,39% ,21% ,0% 
11/2011,5% ,45% ,36% ,13% ,1% 
05/2012,6% ,42% ,36% ,15% ,1% 
11/2012,5% ,39% ,38% ,17% ,1% 
05/2013,6% ,40% ,34% ,20% ,0% 

Turkey
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,27% ,44% ,16% ,12% ,0% 
06/2005,23% ,50% ,16% ,11% ,0% 
10/2005,31% ,42% ,15% ,11% ,1% 
04/2006,23% ,47% ,19% ,10% ,1% 
09/2006,27% ,44% ,16% ,12% ,0% 
05/2007,34% ,42% ,13% ,11% ,0% 
10/2007,25% ,45% ,17% ,10% ,3% 
04/2008,19% ,40% ,20% ,18% ,3% 
10/2008,20% ,43% ,20% ,13% ,4% 
06/2009,20% ,41% ,18% ,20% ,1% 
11/2009,16% ,43% ,21% ,19% ,1% 
06/2010,23% ,42% ,15% ,20% ,0% 
11/2010,26% ,40% ,15% ,18% ,1% 
05/2011,25% ,39% ,15% ,21% ,0% 
11/2011,18% ,46% ,18% ,18% ,0% 
05/2012,23% ,48% ,16% ,13% ,0% 
11/2012,16% ,48% ,19% ,17% ,0% 
05/2013,22% ,46% ,17% ,15% ,0% 

Member of Turkish Cypriot community
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2004,50% ,16% ,27% ,6% ,1% 
06/2005,33% ,34% ,24% ,8% ,1% 
10/2005,35% ,44% ,16% ,4% ,1% 
04/2006,31% ,44% ,20% ,5% ,0% 
09/2006,31% ,44% ,21% ,3% ,1% 
05/2007,27% ,43% ,21% ,8% ,1% 
10/2007,25% ,43% ,22% ,9% ,1% 
04/2008,22% ,43% ,26% ,9% ,0% 
10/2008,13% ,38% ,32% ,16% ,1% 
06/2009,11% ,42% ,33% ,13% ,1% 
11/2009,12% ,38% ,33% ,16% ,1% 
06/2010,18% ,46% ,27% ,8% ,1% 
11/2010,11% ,46% ,34% ,9% ,0% 
05/2011,11% ,43% ,34% ,12% ,0% 
11/2011,15% ,45% ,32% ,8% ,0% 
05/2012,7% ,41% ,40% ,12% ,0% 
11/2012,13% ,34% ,36% ,16% ,1% 
05/2013,6% ,34% ,46% ,13% ,1% 

Former Yugoslav Republic of Macedonia
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/2007,14% ,49% ,15% ,21% ,1% 
04/2008,11% ,53% ,20% ,16% ,0% 
10/2008,11% ,52% ,17% ,20% ,0% 
06/2009,12% ,55% ,15% ,17% ,1% 
11/2009,11% ,55% ,16% ,18% ,0% 
06/2010,11% ,50% ,17% ,22% ,0% 
11/2010,11% ,50% ,18% ,21% ,0% 
05/2011,10% ,49% ,17% ,23% ,1% 
11/2011,12% ,54% ,17% ,17% ,0% 
05/2012,13% ,51% ,17% ,19% ,0% 
11/2012,13% ,49% ,16% ,22% ,0% 
05/2013,12% ,50% ,19% ,19% ,0% 

Iceland
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
06/2010,60% ,38% ,1% ,1% ,0% 
11/2010,63% ,36% ,1% ,0% ,0% 
05/2011,59% ,38% ,2% ,1% ,0% 
11/2011,56% ,40% ,3% ,0% ,1% 
05/2012,60% ,36% ,2% ,2% ,0% 
11/2012,59% ,40% ,1% ,0% ,0% 
05/2013,60% ,38% ,1% ,0% ,1% 

Montenegro
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
05/2011,11% ,41% ,36% ,11% ,1% 
11/2011,12% ,43% ,32% ,12% ,1% 
05/2012,8% ,35% ,38% ,14% ,5% 
11/2012,9% ,35% ,34% ,18% ,4% 
05/2013,10% ,39% ,32% ,16% ,3% 

Republic of Serbia 
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
05/2012,3% ,31% ,43% ,20% ,3% 
11/2012,5% ,28% ,43% ,21% ,3% 
05/2013,6% ,29% ,44% ,18% ,3% 

"Copyright European Union, 1995-2010"
"Reproduction is authorised, provided the source is acknowledged and mentionned."

